Emoji,ASCII Code,Hex Color
🫁,129729,#e58682
🦷,129463,#e0d8c9
🦴,129460,#cececf
👀,128064,#bcb2a6
👁️,128065,#9a897d
👅,128069,#c47682
👄,128068,#bb6579
🫦,129766,#c6697e
👶,128118,#e7b83d
👶🏻,128118,#eec97e
👶🏼,128118,#e4bc6e
👶🏽,128118,#d6aa5d
👶🏾,128118,#c6984b
👶🏿,128118,#ab8c49
🧒,129490,#e3b94f
🧒🏻,129490,#ecc984
🧒🏼,129490,#e2bc75
🧒🏽,129490,#d5ab64
🧒🏾,129490,#c69b54
🧒🏿,129490,#ad8f52
👦,128102,#eabc46
👦🏻,128102,#f0cb80
👦🏼,128102,#e6be71
👦🏽,128102,#d8ad60
👦🏾,128102,#c99c4f
👦🏿,128102,#af904d
👧,128103,#e9bd4a
👧🏻,128103,#f0cb82
👧🏼,128103,#e5be73
👧🏽,128103,#d8ad62
👧🏾,128103,#c99c51
👧🏿,128103,#af904f
🧑,129489,#e5ba50
🧑🏻,129489,#eecb88
🧑🏼,129489,#e3bd78
🧑🏽,129489,#d5ab66
🧑🏾,129489,#c59954
🧑🏿,129489,#aa8c53
👱,128113,#e0bc5a
👱🏻,128113,#ebcc8d
👱🏼,128113,#e0be7d
👱🏽,128113,#d2ac6c
👱🏾,128113,#c29a5a
👱🏿,128113,#a78d58
👨,128104,#e7b944
👨🏻,128104,#efca82
👨🏼,128104,#e4bc72
👨🏽,128104,#d6aa60
👨🏾,128104,#c6994f
👨🏿,128104,#ab8c4d
🧔,129492,#dcaf49
🧔🏻,129492,#e9c585
🧔🏼,129492,#deb775
🧔🏽,129492,#d0a563
🧔🏾,129492,#c09351
🧔🏿,129492,#a5864f
🧔‍♂️,129492,#dcaf49
🧔🏻‍♂️,129492,#eecd9a
🧔🏼‍♂️,129492,#e0bb84
🧔🏽‍♂️,129492,#cca26c
🧔🏾‍♂️,129492,#b78a54
🧔🏿‍♂️,129492,#937952
🧔‍♀️,129492,#dcaf49
🧔🏻‍♀️,129492,#eecd9a
🧔🏼‍♀️,129492,#e0bb84
🧔🏽‍♀️,129492,#cca26c
🧔🏾‍♀️,129492,#b78a54
🧔🏿‍♀️,129492,#937952
👨‍🦰,128104,#e8af3b
👨🏻‍🦰,128104,#f0c57a
👨🏼‍🦰,128104,#e6b86b
👨🏽‍🦰,128104,#d9a75a
👨🏾‍🦰,128104,#ca9649
👨🏿‍🦰,128104,#b08a47
👨‍🦱,128104,#e7b53b
👨🏻‍🦱,128104,#efc879
👨🏼‍🦱,128104,#e5bb6a
👨🏽‍🦱,128104,#d7aa59
👨🏾‍🦱,128104,#c89948
👨🏿‍🦱,128104,#af8d46
👨‍🦳,128104,#ecc96f
👨🏻‍🦳,128104,#f2d49a
👨🏼‍🦳,128104,#e8c78b
👨🏽‍🦳,128104,#dbb67a
👨🏾‍🦳,128104,#cca569
👨🏿‍🦳,128104,#b29967
👨‍🦲,128104,#efc44d
👨🏻‍🦲,128104,#f4d287
👨🏼‍🦲,128104,#e9c478
👨🏽‍🦲,128104,#dcb367
👨🏾‍🦲,128104,#cca155
👨🏿‍🦲,128104,#b29553
👩,128105,#deb045
👩🏻,128105,#e9c37c
👩🏼,128105,#dfb76d
👩🏽,128105,#d3a75e
👩🏾,128105,#c5974e
👩🏿,128105,#ad8c4c
👩‍🦰,128105,#e3ab3d
👩🏻‍🦰,128105,#eec378
👩🏼‍🦰,128105,#e5b76a
👩🏽‍🦰,128105,#d8a65a
👩🏾‍🦰,128105,#ca964a
👩🏿‍🦰,128105,#b28b49
🧑‍🦰,129489,#e8af41
🧑🏻‍🦰,129489,#f0c67d
🧑🏼‍🦰,129489,#e6b96e
🧑🏽‍🦰,129489,#d9a75d
🧑🏾‍🦰,129489,#ca974c
🧑🏿‍🦰,129489,#b08b4b
👩‍🦱,128105,#e1b03c
👩🏻‍🦱,128105,#edc677
👩🏼‍🦱,128105,#e3b969
👩🏽‍🦱,128105,#d7a959
👩🏾‍🦱,128105,#c89949
👩🏿‍🦱,128105,#b08e47
